Name,City,STATE,Amount, EndingDate, ValidDateRange,Most snow in 1 day, 1 day DATE,Most snow in 2 days,2 days DATE,Most snow in 3 days QTY,3 days DATE,First 2 inches
JUNEAU INTL AP,Juneau,AK,212.1, 1994-12-31 , 1936-11-01 to 2017-06-06,30.6, 1948-03-21 ,38.6, 1963-04-03 ,42.4, 1963-04-03 ,10/2/2000
YAKUTAT AP,Yakutat,AK,400.6, 1975-12-31 , 1917-04-01 to 2017-06-06,30, 1960-03-11 ,36, 1960-03-12 ,40.4, 1992-03-28 ,10/1/1974
BETHEL AP,Bethel,AK,149.5, 1951-12-31 , 1923-09-01 to 2017-05-31,17.6, 1952-01-03 ,23.1, 1952-01-03 ,33.2, 1952-01-05 ,9/19/1948
ANCHORAGE TED STEVENS INTL AP,Anchorage,AK,171.6,12/31/1955,1953-02-01 to 2017-06-06,22,3/17/2002,29, 1955-12-29 ,33, 1955-12-29 ,9/25/2004
MCGRATH AP,Mcgrath,AK,196.6, 1990-12-31 , 1939-04-01 to 2017-06-06,16.2, 2005-01-03 ,21, 1985-11-10,22.1, 1985-11-11 ,9/17/1992
FAIRBANKS INTL AP,Fairbanks,AK,146.2, 1992-12-31 , 1929-12-01 to 2017-06-06,16, 1966-02-11 ,26.9, 1966-02-12 ,34.6, 1966-02-13 ,9/12/1992
BETTLES AP,Bettles,AK,147.5, 1993-12-31 , 1951-05-01 to 2017-06-06,19, 1965-01-22 ,23.8, 1973-01-28 ,25.9, 1973-01-29 ,8/9/1969
BARROW W POST-W ROGERS AP,Barrow,AK,107.3, 1916-12-31 , 1901-09-01 to 2017-06-06,15, 1926-10-26 ,16.5, 1926-10-27 ,17.1, 1926-10-28 ,8/15/1929
KODIAK AP,Kodiak,AK,178.9, 1956-12-31 , 1931-01-01 to 2017-06-05,21.5, 1947-01-07 ,22.4, 1956-03-23 ,28.7, 1956-03-22 ,10/12/1961
BIRMINGHAM AP,Birmingham,AL,13, 1993-12-31 , 1930-01-01 to 2017-06-06,10.3, 1993-03-13 ,13, 1993-03-13 ,13, 1993-03-14,12/11/1944
HUNTSVILLE INTL AP,Huntsville,AL,24, 1963-12-31 , 1937-12-01 to 2017-06-06,15.7, 1963-12-31 ,17.1, 1964-01-01 ,17.1, 1964-01-02,11/2/1966
MOBILE RGNL AP,Mobile,AL,3.6, 1973-12-31 , 1948-01-01 to 2017-06-05,3.6, 1973-02-09 ,3.6, 1973-02-10,3.6, 1973-02-11,12/31/1963
MONTGOMERY AP,Montgomery,AL,6, 1977-12-31 , 1948-01-01 to 2017-06-06,3.8, 1993-03-13 ,3.8, 1993-03-14,3.8, 1993-03-15,1/18/1977
HOT SPRINGS ASOS,Hot Springs,AR,13.9, 1988-12-31 , 1986-05-27 to 2017-06-06,8, 2000-01-27,11, 1988-01-07 ,11, 1988-01-08,12/13/2000
LITTLE ROCK AP ADAMS FLD,Little Rock,AR,32.6, 1960-12-31 , 1879-07-01 to 2017-06-06,11.3, 1960-01-05 ,13, 1893-01-18 ,13, 1893-01-19,11/9/1892
FT SMITH RGNL AP,Ft Smith,AR,21.9, 1978-12-31 , 1945-09-27 to 2017-06-06,11, 2000-01-27,11.3, 1988-01-07,11.6, 1988-01-07 ,11/2/1951
